| Entity                                                                                     |   Number of occurrences |
| 0 (Chromosomal Proteins, Non-Histone)                                                      |                      20 |
| Octamer Transcription Factor-3/*metabolism                                                 |                      20 |
| Open Reading Frames                                                                        |                      20 |
| Gene Expression Regulation/physiology                                                      |                      19 |
| Adenosine Triphosphate/genetics/metabolism                                                 |                      19 |
| *mRNA export                                                                               |                      19 |
| Cytoskeleton/metabolism                                                                    |                      19 |
| 0 (Phosphates)                                                                             |                      19 |
| mantATP                                                                                    |                      19 |
| kinetics                                                                                   |                      19 |
| Phosphates/*metabolism                                                                     |                      19 |
| RNA helicase                                                                               |                      19 |
| thermodynamics                                                                             |                      19 |
| Biological Transport, Active/genetics                                                      |                      19 |
| *S Phase                                                                                   |                      19 |
| Phosphotransferases (Alcohol Group Acceptor)/genetics/*metabolism                          |                      19 |
| *G1 Phase                                                                                  |                      19 |
| EC 2.7.1.- (inositol pentakisphosphate kinase)                                             |                      19 |
| Interferon-beta/genetics/metabolism                                                        |                      19 |
| Peptide Chain Initiation, Translational/*physiology                                        |                      19 |
| Gene Expression Regulation, Fungal/*physiology                                             |                      19 |
| Biological Transport, Active/physiology                                                    |                      19 |
| Models, Statistical                                                                        |                      19 |
| Adiposity/*physiology                                                                      |                      19 |
| Blacks/statistics & numerical data                                                         |                      19 |
| Whites/statistics & numerical data                                                         |                      19 |
| Blood Pressure/*physiology                                                                 |                      19 |
| Adipose Tissue/physiology                                                                  |                      19 |
| Sex Factors                                                                                |                      19 |
| Waist Circumference                                                                        |                      19 |
| Follow-Up Studies                                                                          |                      19 |
| Texas                                                                                      |                      19 |
| *Gene Expression Regulation, Enzymologic                                                   |                      19 |
| Cell Nucleus/*enzymology                                                                   |                      19 |
| Disease Models, Animal                                                                     |                      19 |
| Bone Morphogenetic Protein 2/administration & dosage                                       |                      19 |
| Vitamin D-Binding Protein/*administration & dosage                                         |                      19 |
| Radius/diagnostic imaging/*drug effects/physiopathology/surgery                            |                      19 |
| 0 (Bone Morphogenetic Protein 2)                                                           |                      19 |
| Bony Callus/drug effects/physiopathology                                                   |                      19 |
| Rats, Sprague-Dawley                                                                       |                      19 |
| Radiography                                                                                |                      19 |
| Pseudarthrosis/physiopathology                                                             |                      19 |
| Gelatin Sponge, Absorbable                                                                 |                      19 |
| Fracture Healing/*drug effects                                                             |                      19 |
| Radius Fractures/diagnostic imaging/*drug therapy/physiopathology                          |                      19 |
| Bone Marrow Transplantation                                                                |                      19 |
| Bone Regeneration/drug effects                                                             |                      19 |
| Pilot Projects                                                                             |                      19 |
| EC 3.5.1.98 (Histone Deacetylase 6)                                                        |                      19 |
| Histone Deacetylases/chemistry/*genetics/metabolism                                        |                      19 |
| RNA, Small Interfering/metabolism                                                          |                      19 |
| EC 3.5.1.98 (HDAC6 protein, human)                                                         |                      19 |
| Histone Deacetylase 6                                                                      |                      19 |
| DNA-Binding Proteins/antagonists & inhibitors/genetics/*metabolism                         |                      19 |
| Adenosine Triphosphatases/genetics/metabolism                                              |                      18 |
| Cell Nucleus/enzymology/genetics/*metabolism                                               |                      18 |
| Peptide Chain Termination, Translational                                                   |                      18 |
| Saccharomyces cerevisiae/enzymology/genetics/metabolism                                    |                      18 |
| RNA-Binding Proteins/antagonists & inhibitors/chemistry/genetics/*metabolism               |                      18 |
| 0 (RBM15B protein, human)                                                                  |                      18 |
| 0 (RBM15 protein, human)                                                                   |                      18 |
| Neoplasms/*genetics/therapy                                                                |                      18 |
| Molecular Targeted Therapy                                                                 |                      18 |
| GENE EXPRESSION                                                                            |                      18 |
| CANCER                                                                                     |                      18 |
| TRANSCRIPTION                                                                              |                      18 |
| Carcinogenesis/*genetics                                                                   |                      18 |
| RNA SPLICING                                                                               |                      18 |
| RNA Splicing/*physiology                                                                   |                      18 |
| Minor Histocompatibility Antigens/chemistry/*genetics                                      |                      18 |
| Brain/abnormalities                                                                        |                      18 |
| Congenital Abnormalities/*genetics                                                         |                      18 |
| Sequence Deletion/*genetics                                                                |                      18 |
| DNA-Binding Proteins/chemistry/*genetics                                                   |                      18 |
| Failure to Thrive/*genetics                                                                |                      18 |
| Fatal Outcome                                                                              |                      18 |
| Cafe au lait spots, multiple                                                               |                      18 |
| *Medulloblastoma                                                                           |                      18 |
| Cerebellar Neoplasms/*genetics                                                             |                      18 |
| *Skin alteration                                                                           |                      18 |
| Medulloblastoma/*genetics                                                                  |                      18 |
| Cafe-au-Lait Spots/*genetics                                                               |                      18 |
| Consanguinity                                                                              |                      18 |
| *Cancer syndrome                                                                           |                      18 |
| Recombinant Fusion Proteins/genetics/immunology/metabolism                                 |                      18 |
| DNA-Binding Proteins/*genetics/immunology/metabolism                                       |                      18 |
| DNA/*genetics/metabolism                                                                   |                      18 |
| 0 (DNA Probes)                                                                             |                      18 |
| Nuclear Proteins/*genetics/immunology/metabolism                                           |                      18 |
| DNA Probes                                                                                 |                      18 |
| Eukaryotic Initiation Factor-3/chemistry/metabolism                                        |                      17 |
| Protein Multimerization                                                                    |                      17 |
| Nucleocytoplasmic Transport Proteins/*chemistry/metabolism                                 |                      17 |
| Protein Interaction Domains and Motifs                                                     |                      17 |
| RNA-Binding Proteins/*chemistry/metabolism                                                 |                      17 |
| Zebrafish Proteins/*chemistry/metabolism                                                   |                      17 |
| 0 (SLBP protein, zebrafish)                                                                |                      17 |
| 0 (Phosphatidylinositol Phosphates)                                                        |                      17 |
| *Nucleolus                                                                                 |                      17 |
| Microscopy                                                                                 |                      17 |
| *RNA polymerase II                                                                         |                      17 |
| Phosphatidylinositol Phosphates/*metabolism                                                |                      17 |
| *Cell nucleus                                                                              |                      17 |
| *Phosphatidylinositol phosphates                                                           |                      17 |
| *STORM                                                                                     |                      17 |
| Cell Nucleolus/*metabolism                                                                 |                      17 |
| Actins/chemistry/metabolism                                                                |                      17 |
| *Interchromatin granule clusters                                                           |                      17 |
| Chromatin/genetics/metabolism                                                              |                      17 |
| DNA-Binding Proteins/genetics/metabolism                                                   |                      17 |
| *Heat-Shock Response                                                                       |                      17 |
| Cricetulus                                                                                 |                      17 |
| 0 (Actins)                                                                                 |                      17 |
| *Nuclear bodies                                                                            |                      17 |
| CHO Cells                                                                                  |                      17 |
| Minor Histocompatibility Antigens/genetics/metabolism                                      |                      17 |
| Intranuclear Inclusion Bodies/*metabolism                                                  |                      17 |
| *Transgenes                                                                                |                      17 |
| *Genes, Fungal                                                                             |                      17 |
| Oligonucleotide Array Sequence Analysis                                                    |                      17 |
| Genes, Synthetic                                                                           |                      17 |
| DNA                                                                                        |                      17 |
| Nuclear Pore                                                                               |                      16 |
| 0 (RNA, Nuclear)                                                                           |                      16 |
| Plant Physiological Phenomena                                                              |                      16 |
| RNA, Plant/*metabolism                                                                     |                      16 |
| 0 (RNA, Plant)                                                                             |                      16 |
| RNA, Nuclear/*metabolism                                                                   |                      16 |
| Nucleocytoplasmic Transport Proteins                                                       |                      16 |
| Plants/*metabolism                                                                         |                      16 |
| Salinity                                                                                   |                      16 |
| Disasters                                                                                  |                      16 |
| Hepatitis B/genetics                                                                       |                      16 |
| RNA, Messenger/biosynthesis/*genetics                                                      |                      16 |
| Embryonic Stem Cells/cytology                                                              |                      16 |
| Neoplasms/genetics                                                                         |                      16 |
| *ZTTK syndrome                                                                             |                      16 |
| *gene                                                                                      |                      16 |
| Chromosomes, Human, Pair 21                                                                |                      16 |
| *mutation                                                                                  |                      16 |
| Eukaryota/metabolism                                                                       |                      16 |
| Guanosine Triphosphate/metabolism                                                          |                      16 |
| Peptide Termination Factors/*metabolism                                                    |                      16 |
| Genome, Fungal                                                                             |                      16 |
| 0 (Adaptor Proteins, Signal Transducing)                                                   |                      16 |
| Adaptor Proteins, Signal Transducing                                                       |                      16 |
| 0 (ZDS1 protein, S cerevisiae)                                                             |                      16 |
| Growth Hormone/deficiency                                                                  |                      16 |
| 9002-72-6 (Growth Hormone)                                                                 |                      16 |
| Hand Deformities, Congenital/*genetics/pathology                                           |                      16 |
| Estrogens/*metabolism                                                                      |                      16 |
| alpha-Fetoproteins/*analysis/metabolism                                                    |                      16 |
| 0 (Receptors, Estrogen)                                                                    |                      16 |
| 0 (Estrogens)                                                                              |                      16 |
| In Vitro Techniques                                                                        |                      16 |
| Molecular Weight                                                                           |                      16 |
| Ovary/*metabolism                                                                          |                      16 |
| 0 (estrophilin)                                                                            |                      16 |
| *Receptors, Estrogen                                                                       |                      16 |
| Cytoplasm/genetics/*metabolism                                                             |                      16 |
| Abnormalities, Multiple/*genetics/pathology                                                |                      16 |
| *psychomotor delay                                                                         |                      16 |
| Karyopherins/genetics/*metabolism                                                          |                      16 |
| Saccharomyces cerevisiae/*cytology/genetics/metabolism                                     |                      16 |
| 0 (KAP104 protein, S cerevisiae)                                                           |                      16 |
| Protein Transport                                                                          |                      16 |
| 25612-73-1 (Adenylyl Imidodiphosphate)                                                     |                      15 |
| Nuclear Pore Complex Proteins/*chemistry/*metabolism                                       |                      15 |
| Adenylyl Imidodiphosphate/chemistry/metabolism                                             |                      15 |
| *Protein Structure, Quaternary                                                             |                      15 |
| 0 (NUP214 protein, human)                                                                  |                      15 |
| Americas/epidemiology                                                                      |                      15 |
| Blood Pressure Determination                                                               |                      15 |
| *Data Interpretation, Statistical                                                          |                      15 |
| Far East/epidemiology                                                                      |                      15 |
| *Pattern Recognition, Automated                                                            |                      15 |
| Asia, Southeastern/epidemiology                                                            |                      15 |
| Europe/epidemiology                                                                        |                      15 |
| Africa/epidemiology                                                                        |                      15 |
| Rous sarcoma virus/*genetics/physiology                                                    |                      15 |
| Nucleocytoplasmic Transport Proteins/*physiology                                           |                      15 |
| 0 (Gene Products, gag)                                                                     |                      15 |
| 0 (RNA, Viral)                                                                             |                      15 |
| RNA, Viral/*metabolism                                                                     |                      15 |
| Sarcoma, Avian/metabolism/virology                                                         |                      15 |
| Repetitive Sequences, Nucleic Acid/*genetics                                               |                      15 |
| Gene Products, gag/physiology                                                              |                      15 |
| Glucocorticoids/metabolism                                                                 |                      15 |
| Insulin/metabolism                                                                         |                      15 |
| Receptor, Insulin/*genetics/*metabolism/ultrastructure                                     |                      15 |
| 0 (Insulin)                                                                                |                      15 |
| EC 2.7.10.1 (Receptor, Insulin)                                                            |                      15 |
| 0 (Glucocorticoids)                                                                        |                      15 |
| Cells/metabolism                                                                           |                      15 |
| Cell Division                                                                              |                      15 |
| Transcriptional Activation                                                                 |                      15 |
| intellectual disability                                                                    |                      15 |
| Karyotyping                                                                                |                      15 |
| Intellectual Disability/genetics                                                           |                      15 |
| psychomotor development                                                                    |                      15 |
| Whole Exome Sequencing                                                                     |                      15 |
| Zhu-Tokita-Takenouchi-Kim syndrome                                                         |                      15 |
| Frameshift Mutation/*genetics                                                              |                      15 |
| Sodium Chloride/*pharmacology                                                              |                      15 |
| Body Weight                                                                                |                      15 |
| Hypertension/chemically induced/complications                                              |                      15 |
| Obesity/*complications                                                                     |                      15 |
| Blood Pressure/*drug effects                                                               |                      15 |
| *Diet                                                                                      |                      15 |
| Sodium/urine                                                                               |                      15 |
| 451W47IQ8X (Sodium Chloride)                                                               |                      15 |
| Energy Intake                                                                              |                      15 |
| Epidemiologic Methods                                                                      |                      15 |
| Boston                                                                                     |                      15 |
| 9NEZ333N27 (Sodium)                                                                        |                      15 |
| 0 (MNBP-1 protein, human)                                                                  |                      15 |
| Sequence Homology, Nucleic Acid                                                            |                      15 |
| *Terminal Repeat Sequences                                                                 |                      15 |
| Proviruses/genetics/metabolism                                                             |                      15 |
| L Cells                                                                                    |                      15 |
| Animals, Genetically Modified/embryology                                                   |                      14 |
| Zebrafish/*embryology                                                                      |                      14 |
| Embryo, Nonmammalian/*cytology                                                             |                      14 |
| *Hematopoiesis                                                                             |                      14 |
| DNA-Binding Proteins/physiology                                                            |                      14 |
| Hematologic Diseases/metabolism                                                            |                      14 |
| Zebrafish Proteins/genetics/physiology                                                     |                      14 |
| Minor Histocompatibility Antigens/physiology                                               |                      14 |
| Proto-Oncogene Proteins/genetics                                                           |                      14 |
| 0 (MAS1 protein, human)                                                                    |                      14 |
| 0 (Proto-Oncogene Mas)                                                                     |                      14 |
| *Base Sequence                                                                             |                      14 |
| Proto-Oncogene Mas                                                                         |                      14 |
| DNA/genetics                                                                               |                      14 |
| *Apoptosis                                                                                 |                      14 |
| Caspase 9/metabolism                                                                       |                      14 |
| 0 (Pyrazoles)                                                                              |                      14 |
| Benzothiazoles/chemistry/*toxicity                                                         |                      14 |
| 0 (3-(4-(benzo(d)thiazol-2-yl)-1-phenyl-1H-pyrazol-3-yl)phenyl acetate)                    |                      14 |
| Membrane Potential, Mitochondrial/drug effects                                             |                      14 |
| Reactive Oxygen Species/*metabolism                                                        |                      14 |
| 0 (Benzothiazoles)                                                                         |                      14 |
| EC 3.4.22.- (Caspase 9)                                                                    |                      14 |
| Glutathione/metabolism                                                                     |                      14 |
| Pyrazoles/chemistry/*toxicity                                                              |                      14 |
| 0 (Reactive Oxygen Species)                                                                |                      14 |
| GAN16C9B8O (Glutathione)                                                                   |                      14 |
| Drug Screening Assays, Antitumor                                                           |                      14 |
| Fetus/metabolism                                                                           |                      14 |
| *Gene Expression                                                                           |                      14 |
| Brain/embryology/*metabolism                                                               |                      14 |
| *Chromosome Mapping                                                                        |                      14 |
| Enzyme-Linked Immunosorbent Assay                                                          |                      14 |
| Rodentia                                                                                   |                      14 |
| Computational Biology                                                                      |                      14 |
| Reverse Transcriptase Polymerase Chain Reaction                                            |                      14 |
| *Sequence Analysis                                                                         |                      14 |
| DNA, Complementary/*genetics                                                               |                      14 |
| Mammals/*genetics                                                                          |                      14 |
| DNA/*genetics                                                                              |                      14 |
| Forensic Anthropology                                                                      |                      14 |
| Chlorocebus aethiops                                                                       |                      14 |
| Cricetinae                                                                                 |                      14 |
| Dogs                                                                                       |                      14 |
| Polymerase Chain Reaction                                                                  |                      14 |
| Cats                                                                                       |                      14 |
| Mothers                                                                                    |                      13 |
| United Kingdom/epidemiology                                                                |                      13 |
| Fathers                                                                                    |                      13 |
| Cohort Studies                                                                             |                      13 |
| *Family Health                                                                             |                      13 |
| Weight Gain/genetics/*physiology                                                           |                      13 |
| Obesity/*epidemiology/genetics/prevention & control                                        |                      13 |
| Rabbits                                                                                    |                      13 |
| Trans-Activators/*genetics                                                                 |                      13 |
| Herpesvirus 1, Equid/*genetics                                                             |                      13 |
| Viral Regulatory and Accessory Proteins/*genetics                                          |                      13 |
| Saccharomyces cerevisiae                                                                   |                      12 |
| *RNA, Messenger/biosynthesis/chemistry/genetics                                            |                      12 |
| Cell Nucleus/genetics/metabolism                                                           |                      12 |
| *Nuclear Pore/chemistry/genetics/metabolism                                                |                      12 |
| EC 2.7.7.- (Dbp5 protein, S pombe)                                                         |                      12 |
| Schizosaccharomyces pombe Proteins/*chemistry/*metabolism                                  |                      12 |
| 6O7F7IX66E (phthalic acid)                                                                 |                      12 |
| Phthalic Acids/*chemistry                                                                  |                      12 |
| Plasticizers/*chemistry                                                                    |                      12 |
| *Membranes, Artificial                                                                     |                      12 |
| 107-66-4 (di-n-butylphosphoric acid)                                                       |                      12 |
| 0 (Plasticizers)                                                                           |                      12 |
| UF064M00AF (diethyl phthalate)                                                             |                      12 |
| Organophosphates/chemistry                                                                 |                      12 |
| 0 (Phthalic Acids)                                                                         |                      12 |
| 0 (Organophosphates)                                                                       |                      12 |
| 0 (Membranes, Artificial)                                                                  |                      12 |
| *Interphase                                                                                |                      12 |
| Spectrometry, Mass, Electrospray Ionization                                                |                      12 |
| Tandem Mass Spectrometry                                                                   |                      12 |
| Solubility                                                                                 |                      12 |
| *Proteome                                                                                  |                      12 |
| Cell Nucleus/chemistry/*metabolism                                                         |                      12 |
| Subcellular Fractions/chemistry/metabolism                                                 |                      12 |
| *Nuclear Proteins/chemistry/metabolism                                                     |                      12 |
| 0 (Proteome)                                                                               |                      12 |
| Chromatography, Liquid                                                                     |                      12 |
| Sexual Maturation/physiology                                                               |                      12 |
| Aging/physiology                                                                           |                      12 |
| *Rural Population/statistics & numerical data                                              |                      12 |
| Sex Characteristics                                                                        |                      12 |
| Cross-Sectional Studies                                                                    |                      12 |
| Anthropometry                                                                              |                      12 |
| *Gene Regulatory Networks                                                                  |                      11 |
| Transcriptome                                                                              |                      11 |
| Embryonic Stem Cells/*physiology                                                           |                      11 |
| *Transfection                                                                              |                      11 |
| Cell Transformation, Viral                                                                 |                      11 |
| Electrophoresis, Polyacrylamide Gel                                                        |                      11 |
| 3T3 Cells                                                                                  |                      11 |
| Mammals                                                                                    |                      11 |
| Cell Line, Transformed                                                                     |                      11 |
| Adenoviridae                                                                               |                      11 |
| Comparative Genomic Hybridization                                                          |                      11 |
| EC 3.5.1.98 (HDAC4 protein, human)                                                         |                      11 |
| Histone Deacetylases/*genetics                                                             |                      11 |
| Repressor Proteins/*genetics                                                               |                      11 |
| Brachydactyly/*genetics                                                                    |                      11 |
| *Nucleo-cytoplasmic transport                                                              |                      10 |
| *NPC kinetics                                                                              |                      10 |
| *Single molecule microscopy                                                                |                      10 |
| *Importin β                                                                                |                      10 |
| Lethal congenital contracture syndrome 1                                                   |                      10 |
| Lethal Arthrogryposis With Anterior Horn Cell Disease                                      |                      10 |
| Arthrogryposis/genetics/*metabolism                                                        |                      10 |
| Nucleocytoplasmic Transport Proteins/*chemistry/genetics/*metabolism                       |                      10 |
| Motor Neuron Disease/genetics/*metabolism                                                  |                      10 |
| Blood-Brain Barrier                                                                        |                      10 |
| 0 (Glial Fibrillary Acidic Protein)                                                        |                      10 |
| 0 (Antibodies, Neoplasm)                                                                   |                      10 |
| Antibodies, Neoplasm/immunology                                                            |                      10 |
| Glial Fibrillary Acidic Protein/immunology                                                 |                      10 |
| Blotting, Northern                                                                         |                      10 |
| 0 (Antigens, Neoplasm)                                                                     |                      10 |
| Antigens, Neoplasm/analysis/*immunology                                                    |                      10 |
| Astrocytoma/*immunology                                                                    |                      10 |
| Glioma/*immunology                                                                         |                      10 |
| Reference Values                                                                           |                      10 |
| United States                                                                              |                      10 |
| *export receptor                                                                           |                       9 |
| *structural biology                                                                        |                       9 |
| *DEAD-box ATPase                                                                           |                       9 |
| *mRNP remodeling                                                                           |                       9 |
| DEAD-box RNA Helicases/chemistry/*genetics/*metabolism                                     |                       9 |
| Plasmodium falciparum/*enzymology/*genetics                                                |                       9 |
| EC 2.3.1.48 (p300-CBP Transcription Factors)                                               |                       9 |
| 0 (Extracellular Matrix Proteins)                                                          |                       9 |
| Extracellular Matrix Proteins/*metabolism                                                  |                       9 |
| p300-CBP Transcription Factors/*physiology                                                 |                       9 |
| Codon                                                                                      |                       9 |
| 0 (Codon)                                                                                  |                       9 |
| malaria parasite                                                                           |                       8 |
| RNA Nucleotidyltransferases/*genetics/physiology                                           |                       8 |
| Dictyostelium/*enzymology/genetics/growth & development                                    |                       8 |
| *Nails, Malformed/genetics                                                                 |                       8 |
| keratosis pilaris                                                                          |                       8 |
| enamel hypoplasia                                                                          |                       8 |
| *Intellectual Disability/genetics                                                          |                       8 |
| Nails                                                                                      |                       8 |
| retronychia                                                                                |                       8 |
| Nucleic Acid Hybridization                                                                 |                       8 |
| Adenosine Diphosphate/*metabolism                                                          |                       8 |
| Microscopy, Fluorescence/*methods                                                          |                       7 |
| Embryonic Stem Cells/metabolism                                                            |                       7 |
