| Entity                                                                                                 |   Number of occurrences |
| mod-5014                                                                                               |                      13 |
| extrinsic coagulation cascade mediated coagulopathies                                                  |                      13 |
| mast                                                                                                   |                      13 |
| tissue factor]                                                                                         |                      13 |
| coad                                                                                                   |                      13 |
| six4                                                                                                   |                      13 |
| lncrna ncbp2-as1                                                                                       |                      13 |
| lncrna linc00115                                                                                       |                      13 |
| ervmer34-1                                                                                             |                      13 |
| gse29623                                                                                               |                      13 |
| nkain4                                                                                                 |                      13 |
| mmaa                                                                                                   |                      13 |
| colon adenocarcinoma                                                                                   |                      13 |
| hsa-mir-34c                                                                                            |                      13 |
| hsa-mir-4709                                                                                           |                      13 |
| grap                                                                                                   |                      13 |
| hsa-mir-363                                                                                            |                      13 |
| asd genes                                                                                              |                      13 |
| kcnma1                                                                                                 |                      13 |
| syne1                                                                                                  |                      13 |
| abnormal head circumference                                                                            |                      13 |
| macrocephaly                                                                                           |                      13 |
| chd8                                                                                                   |                      13 |
| ubn2                                                                                                   |                      13 |
| cyclic medroxyprogesterone acetate                                                                     |                      13 |
| shelterin                                                                                              |                      13 |
| shelterin accessory factors                                                                            |                      13 |
| shelterin accessory factor                                                                             |                      13 |
| trf1                                                                                                   |                      13 |
| tin2 binding site                                                                                      |                      13 |
| pinx1                                                                                                  |                      13 |
| trf homology                                                                                           |                      13 |
| trfh                                                                                                   |                      13 |
| telomeric proteins                                                                                     |                      13 |
| shelterin-associated factor                                                                            |                      13 |
| trfh domain                                                                                            |                      13 |
| tin2                                                                                                   |                      13 |
| nuclear factor of activated t cells c2                                                                 |                      13 |
| nfatc2                                                                                                 |                      13 |
| advanced melanoma                                                                                      |                      13 |
| csa                                                                                                    |                      13 |
| calcineurin                                                                                            |                      13 |
| cyclosporin a                                                                                          |                      13 |
| rad51                                                                                                  |                      13 |
| dsb                                                                                                    |                      13 |
| patm                                                                                                   |                      13 |
| mcph1                                                                                                  |                      13 |
| bruce ubc domain                                                                                       |                      13 |
| mdc1                                                                                                   |                      13 |
| renal impaired                                                                                         |                      13 |
| congenital hydrocephalus                                                                               |                      13 |
| lgals3                                                                                                 |                      13 |
| cck                                                                                                    |                      13 |
| nfix                                                                                                   |                      13 |
| gsta1                                                                                                  |                      13 |
| hydrocephalic                                                                                          |                      13 |
| xdh                                                                                                    |                      13 |
| hydrocephalus                                                                                          |                      13 |
| cerebral aqueduct                                                                                      |                      13 |
| lamp2                                                                                                  |                      13 |
| n-terminal bruce fragment                                                                              |                      13 |
| atg8 members                                                                                           |                      13 |
| bruce -/-                                                                                              |                      13 |
| iap protein                                                                                            |                      13 |
| factors viia                                                                                           |                      13 |
| fxiii v34l                                                                                             |                      13 |
| a4070g                                                                                                 |                      13 |
| c536t                                                                                                  |                      13 |
| pregnancy-associated venous thrombosis of factor v leiden                                              |                      13 |
| pregnancy-associated venous thrombosis                                                                 |                      13 |
| t38853g                                                                                                |                      13 |
| bleeds                                                                                                 |                      13 |
| deficiencies of natural anticoagulants                                                                 |                      13 |
| intact single chain protein s                                                                          |                      13 |
| der p 1                                                                                                |                      13 |
| allergen (der p 1)                                                                                     |                      13 |
| airway diseases                                                                                        |                      13 |
| th2 type                                                                                               |                      13 |
| serine protease inhibitor (serpin)b3                                                                   |                      13 |
| epithelial barrier defect                                                                              |                      13 |
| serpinb4                                                                                               |                      13 |
| dermatophagoides                                                                                       |                      13 |
| der p 1 allergen                                                                                       |                      13 |
| coronary artery disease susceptibility gene adtrp                                                      |                      13 |
| contrary artery disease                                                                                |                      13 |
| pdcd2                                                                                                  |                      13 |
| histone genes                                                                                          |                      13 |
| ntpases                                                                                                |                      12 |
| nucleoporin proteins                                                                                   |                      12 |
| nup42 mutant                                                                                           |                      12 |
| rbfox2-targeted cassette                                                                               |                      12 |
| gbm                                                                                                    |                      12 |
| hnrnp a2b1                                                                                             |                      12 |
| rbfox2                                                                                                 |                      12 |
| ptbp1 transcript                                                                                       |                      12 |
| brain and spinal malformations                                                                         |                      12 |
| lcr                                                                                                    |                      12 |
| morpholinos                                                                                            |                      12 |
| hspc                                                                                                   |                      12 |
| lck                                                                                                    |                      12 |
| cd41                                                                                                   |                      12 |
| gene son                                                                                               |                      12 |
| mpx                                                                                                    |                      12 |
| glut1 promoter                                                                                         |                      12 |
| glut1 gene                                                                                             |                      12 |
| glut1                                                                                                  |                      12 |
| ge                                                                                                     |                      12 |
| son binding motifs                                                                                     |                      12 |
| glucose transporter 1                                                                                  |                      12 |
| slc2a1                                                                                                 |                      12 |
| glut1 enhancer                                                                                         |                      12 |
| gle1-4 mutant                                                                                          |                      12 |
| ded1-120 mutant                                                                                        |                      12 |
| initiation factor ded1                                                                                 |                      12 |
| ded1 atpase                                                                                            |                      12 |
| polyadenosine-rna-binding protein                                                                      |                      12 |
| nab2-c437s mutant                                                                                      |                      12 |
| nab2 zn fingers                                                                                        |                      12 |
| c437s                                                                                                  |                      12 |
| nab2 variants                                                                                          |                      12 |
| yra1                                                                                                   |                      12 |
| polyadenosine                                                                                          |                      12 |
| dbp5 interacting protein                                                                               |                      12 |
| fe/s protein                                                                                           |                      12 |
| atp binding cassette (abc) protein                                                                     |                      12 |
| serine-arginine rich (sr) splicing factors                                                             |                      12 |
| hdac6 pre-mrna                                                                                         |                      12 |
| hdac6 reporter transcripts                                                                             |                      12 |
| sr-like protein                                                                                        |                      12 |
| hdac6 mrna                                                                                             |                      12 |
| ubiquitin zinc finger                                                                                  |                      12 |
| plasma renin                                                                                           |                      12 |
| mouse renin gene                                                                                       |                      12 |
| tfd                                                                                                    |                      12 |
| nre tfd                                                                                                |                      12 |
| hepatic renin mrna                                                                                     |                      12 |
| renin gene                                                                                             |                      12 |
| rat renin gene                                                                                         |                      12 |
| nreb                                                                                                   |                      12 |
| nre transcription factor                                                                               |                      12 |
| ded1 alleles                                                                                           |                      12 |
| dhh1p                                                                                                  |                      12 |
| dhh1 gene                                                                                              |                      12 |
| dhh1                                                                                                   |                      12 |
| ste13p                                                                                                 |                      12 |
| xp54                                                                                                   |                      12 |
| mutant dbp5                                                                                            |                      12 |
| cytoplasmic dexd/h-box protein                                                                         |                      12 |
| endothelial and platelet tfpi                                                                          |                      12 |
| glycosyl phosphatidyinositol                                                                           |                      12 |
| endogenous tissue factor pathway inhibitor-1                                                           |                      12 |
| anti-tf monoclonal antibodies                                                                          |                      12 |
| protein c igg antibodies                                                                               |                      12 |
| tissue factor pathway inhibitor (tfpi)                                                                 |                      12 |
| tfpi igg antibodies                                                                                    |                      12 |
| full-length (fl) tfpi                                                                                  |                      12 |
| isolated lacunar infarct                                                                               |                      12 |
| ischemic lesions                                                                                       |                      12 |
| sils                                                                                                   |                      12 |
| fl tfpi                                                                                                |                      12 |
| ila                                                                                                    |                      12 |
| ls                                                                                                     |                      12 |
| iggs                                                                                                   |                      12 |
| sphingomyelin                                                                                          |                      12 |
| glycosylphosphati-dylinositol (gpi)-linked membrane protein                                            |                      12 |
| tfpi chimeras                                                                                          |                      12 |
| glycosylphosphati-dylinositol                                                                          |                      12 |
| gpi-linked proteins                                                                                    |                      12 |
| chimeric tfpi molecules                                                                                |                      12 |
| tfpi(v264m) mrna                                                                                       |                      12 |
| mfold                                                                                                  |                      12 |
| tfpi(v264m)                                                                                            |                      12 |
| v264m tfpi mutant                                                                                      |                      12 |
| tfpi(v264m) mutant                                                                                     |                      12 |
| tfpialpha mrna isoform                                                                                 |                      12 |
| celite                                                                                                 |                      12 |
| mptfpi                                                                                                 |                      12 |
| wild type tfpi                                                                                         |                      12 |
| tfpi(k1)+/-                                                                                            |                      12 |
| vasculitic syndromes                                                                                   |                      12 |
| bd                                                                                                     |                      12 |
| cardioembolic infarction                                                                               |                      12 |
| atherothrombotic infarction                                                                            |                      12 |
| tfpi exon iv                                                                                           |                      12 |
| valine264methionine                                                                                    |                      12 |
| intracranial tumors                                                                                    |                      12 |
| metastatic tumors                                                                                      |                      12 |
| nf-kappab subunit                                                                                      |                      12 |
| p65                                                                                                    |                      12 |
| nabut                                                                                                  |                      12 |
| sodium butyrate                                                                                        |                      12 |
| bcl-xl                                                                                                 |                      12 |
| v5-his-topo                                                                                            |                      12 |
| anticoagulant factor                                                                                   |                      12 |
| tfpi -287 t allele                                                                                     |                      12 |
| infertility                                                                                            |                      12 |
| tfpi -287 t/c                                                                                          |                      12 |
| -287 t                                                                                                 |                      12 |
| -287 t/c                                                                                               |                      12 |
| -603 a/g                                                                                               |                      12 |
| fv(q/q)                                                                                                |                      12 |
| lethal perinatal thrombosis                                                                            |                      12 |
| anti-human tfpi                                                                                        |                      12 |
| full-length and carboxy-terminus truncated tfpi                                                        |                      12 |
| full-length and three-domain tfpi                                                                      |                      12 |
| full-length and carboxy-terminus truncated tissue factor pathway inhibitor                             |                      12 |
| two-domain tfpi                                                                                        |                      12 |
| peroxidase                                                                                             |                      12 |
| tfpi kunitz 1 domain                                                                                   |                      12 |
| adenovirus-mediated human tissue factor pathway inhibitor                                              |                      12 |
| carotid artery balloon injuries                                                                        |                      12 |
| postheparin lipoprotein lipase                                                                         |                      12 |
| arteriosclerotic plaques                                                                               |                      12 |
| septic conditions                                                                                      |                      12 |
| factor-xa                                                                                              |                      12 |
| albuminuric                                                                                            |                      12 |
| apob-containing lipoproteins                                                                           |                      12 |
| gpi-tfpi-1                                                                                             |                      12 |
| tissue factor (tf)-activated factor vii complex                                                        |                      12 |
| wild-type tfpi-1                                                                                       |                      12 |
| gpi attachment sequence of decay-accelerating factor                                                   |                      12 |
| tfpi-1 wild type                                                                                       |                      12 |
| glycosyl phosphatidylinositol-anchored tissue factor pathway inhibitor-1                               |                      12 |
| glomerular fibrin deposition                                                                           |                      12 |
| paroxysmal                                                                                             |                      12 |
| bacterial pneumonia                                                                                    |                      12 |
| pcp                                                                                                    |                      12 |
| interstitial lung diseases                                                                             |                      12 |
| pneumocystis carinii (pcp) pneumonia                                                                   |                      12 |
| pneumocystis carinii                                                                                   |                      12 |
| lung diseases                                                                                          |                      12 |
| lung injuries                                                                                          |                      12 |
| coagulation disturbances                                                                               |                      12 |
| anti-activated factor x                                                                                |                      12 |
| pynz15                                                                                                 |                      12 |
| d2s43                                                                                                  |                      12 |
| gamma-polypeptide locus crygp1                                                                         |                      12 |
| p5g1                                                                                                   |                      12 |
| hindiii rflp                                                                                           |                      12 |
| full-length human tissue factor pathway inhibitor                                                      |                      12 |
| human apc                                                                                              |                      12 |
| xa and/or monocyte proteases                                                                           |                      12 |
| xa/tfpi                                                                                                |                      12 |
| kunitz-type inhibitor of                                                                               |                      12 |
| hepatic tissue injury                                                                                  |                      12 |
| at-iii: a                                                                                              |                      12 |
| hepatic inflammatory disease                                                                           |                      12 |
| hepatic inflammatory diseases                                                                          |                      12 |
| is                                                                                                     |                      12 |
| tissue-factor viia                                                                                     |                      12 |
| paediatric venous thromboembolism                                                                      |                      12 |
| st                                                                                                     |                      12 |
| functional and antigenic tissue factor                                                                 |                      12 |
| coagulation serine proteases                                                                           |                      12 |
| -factor xa                                                                                             |                      12 |
| fecl(3)                                                                                                |                      12 |
| balbc                                                                                                  |                      12 |
| pig tissue factor                                                                                      |                      12 |
| pig tf                                                                                                 |                      12 |
| pig tfpialpha                                                                                          |                      12 |
| pig tfpi-ig                                                                                            |                      12 |
| tfpi-ig                                                                                                |                      12 |
| human tfpi-ig                                                                                          |                      12 |
| human constant ig                                                                                      |                      12 |
| fusion immunoglobulin                                                                                  |                      12 |
| pig tissue factor pathway inhibitor alpha fusion immunoglobulin                                        |                      12 |
| active factor xa                                                                                       |                      12 |
| viia.tf                                                                                                |                      12 |
| disseminated intravascular coagulopathy                                                                |                      12 |
| tumor derived breast cancer                                                                            |                      12 |
| death receptor ligand                                                                                  |                      12 |
| death receptor                                                                                         |                      12 |
| sustained systemic inflammatory response syndrome                                                      |                      12 |
| plasma prothrombin fragments f(1 + 2)                                                                  |                      12 |
| spectrozyme factor xa                                                                                  |                      12 |
| tfpi-1 rna                                                                                             |                      12 |
| tf rna                                                                                                 |                      12 |
| vascular endothelial cell tissue factor                                                                |                      12 |
| recombinant endothelial cell growth factor                                                             |                      12 |
| regf                                                                                                   |                      12 |
| factor-viia complex                                                                                    |                      12 |
| hs gags                                                                                                |                      12 |
| syndecan-3                                                                                             |                      12 |
| endothelial,- smooth muscle- and breast cancer                                                         |                      12 |
| tfpi binding partners                                                                                  |                      12 |
| alpha-msh                                                                                              |                      12 |
| msh                                                                                                    |                      12 |
| alpha-melanocyte stimulating hormone                                                                   |                      12 |
| d-gal                                                                                                  |                      12 |
| sty39                                                                                                  |                      12 |
| d-galactosamine                                                                                        |                      12 |
| phorbol                                                                                                |                      12 |
| hpbm                                                                                                   |                      12 |
| phorbolester                                                                                           |                      12 |
| crea                                                                                                   |                      12 |
| anti-lla                                                                                               |                      12 |
| cognitively impaired                                                                                   |                      12 |
| mci                                                                                                    |                      12 |
| esophageal and gastric cancer                                                                          |                      12 |
| benign tumor                                                                                           |                      12 |
| substance p                                                                                            |                      12 |
| fucoidans                                                                                              |                      12 |
| erythrocyte superoxide dismutase                                                                       |                      12 |
| lipoperoxide                                                                                           |                      12 |
| pai-1 gene                                                                                             |                      12 |
| maternal thrombophilia                                                                                 |                      12 |
| pl                                                                                                     |                      12 |
| pt1+2                                                                                                  |                      12 |
| factor v protein                                                                                       |                      12 |
| factor v amsterdam                                                                                     |                      12 |
| c.c2588g                                                                                               |                      12 |
| mobility-enhancing actin-binding protein 280                                                           |                      12 |
| tf cytoplasmic domain                                                                                  |                      12 |
| tf variants                                                                                            |                      12 |
| ashtf                                                                                                  |                      12 |
| spliced human tissue factor                                                                            |                      12 |
| ashtf mrna                                                                                             |                      12 |
| anti-tfpi aptamer bax499                                                                               |                      12 |
| tinzaparin 4500                                                                                        |                      12 |
| neurological rehabilitation                                                                            |                      12 |
| a-fxa                                                                                                  |                      12 |
| a-fiia                                                                                                 |                      12 |
| drotrecogin alpha activated                                                                            |                      12 |
| rhipicephalus haemaphysaloides                                                                         |                      12 |
| anticoagulant protein rhipilin-1                                                                       |                      12 |
| rhipilin-1 gene                                                                                        |                      12 |
| rhipilin-1                                                                                             |                      12 |
| rhipicephalus haemaphysaloides tick                                                                    |                      12 |
| tfag                                                                                                   |                      12 |
| endoarterectomy                                                                                        |                      12 |
| carotid endoarterectomy                                                                                |                      12 |
| tfpiag                                                                                                 |                      12 |
| tissue factor pathway inhibitor monoclonal                                                             |                      12 |
| humanized tfpi neutralizing antibody                                                                   |                      12 |
| type i diabetic                                                                                        |                      12 |
| diabetes-related complications                                                                         |                      12 |
| myocardial ischemia-reperfusion injury                                                                 |                      12 |
| coagulation factor ii                                                                                  |                      12 |
| anabolic androgenic steroid (aas) abusers                                                              |                      12 |
